--- Starting fine-tuning for model_type: gpt2 ---
Model configured with LoRA:
trainable params: 294912 || all params: 124734720 || trainable%: 0.24
Starting training...
{'loss': '3.568', 'grad_norm': '0.3329', 'learning_rate': '0.0002', 'epoch': '0.0006034'}
{'loss': '3.682', 'grad_norm': '0.27', 'learning_rate': '0.0001999', 'epoch': '0.001207'}
{'loss': '3.584', 'grad_norm': '0.2493', 'learning_rate': '0.0001998', 'epoch': '0.00181'}
{'loss': '3.781', 'grad_norm': '0.3016', 'learning_rate': '0.0001996', 'epoch': '0.002414'}
{'loss': '3.342', 'grad_norm': '0.277', 'learning_rate': '0.0001995', 'epoch': '0.003017'}
{'loss': '3.321', 'grad_norm': '0.3032', 'learning_rate': '0.0001994', 'epoch': '0.00362'}
{'loss': '3.023', 'grad_norm': '0.2437', 'learning_rate': '0.0001993', 'epoch': '0.004224'}
{'loss': '3.497', 'grad_norm': '0.2904', 'learning_rate': '0.0001992', 'epoch': '0.004827'}
{'loss': '3.417', 'grad_norm': '0.1992', 'learning_rate': '0.000199', 'epoch': '0.005431'}
{'loss': '3.555', 'grad_norm': '0.3057', 'learning_rate': '0.0001989', 'epoch': '0.006034'}
{'loss': '3.188', 'grad_norm': '0.319', 'learning_rate': '0.0001988', 'epoch': '0.006638'}
{'loss': '3.689', 'grad_norm': '0.6724', 'learning_rate': '0.0001987', 'epoch': '0.007241'}
{'loss': '3.069', 'grad_norm': '0.4127', 'learning_rate': '0.0001986', 'epoch': '0.007844'}
{'loss': '3.222', 'grad_norm': '0.2765', 'learning_rate': '0.0001984', 'epoch': '0.008448'}
{'loss': '3.033', 'grad_norm': '0.366', 'learning_rate': '0.0001983', 'epoch': '0.009051'}
{'loss': '2.967', 'grad_norm': '0.3766', 'learning_rate': '0.0001982', 'epoch': '0.009655'}
{'loss': '2.924', 'grad_norm': '0.2988', 'learning_rate': '0.0001981', 'epoch': '0.01026'}
{'loss': '2.84', 'grad_norm': '0.5681', 'learning_rate': '0.0001979', 'epoch': '0.01086'}
{'loss': '2.929', 'grad_norm': '0.4039', 'learning_rate': '0.0001978', 'epoch': '0.01146'}
{'loss': '2.624', 'grad_norm': '0.3084', 'learning_rate': '0.0001977', 'epoch': '0.01207'}
{'loss': '2.986', 'grad_norm': '0.3166', 'learning_rate': '0.0001976', 'epoch': '0.01267'}
{'loss': '2.825', 'grad_norm': '0.3757', 'learning_rate': '0.0001975', 'epoch': '0.01328'}
{'loss': '2.876', 'grad_norm': '0.5876', 'learning_rate': '0.0001973', 'epoch': '0.01388'}
{'loss': '2.84', 'grad_norm': '0.3983', 'learning_rate': '0.0001972', 'epoch': '0.01448'}
{'loss': '3.279', 'grad_norm': '0.3423', 'learning_rate': '0.0001971', 'epoch': '0.01509'}
{'loss': '2.833', 'grad_norm': '0.3252', 'learning_rate': '0.000197', 'epoch': '0.01569'}
{'loss': '3.002', 'grad_norm': '0.4269', 'learning_rate': '0.0001969', 'epoch': '0.01629'}
{'loss': '2.647', 'grad_norm': '0.3362', 'learning_rate': '0.0001967', 'epoch': '0.0169'}
{'loss': '2.51', 'grad_norm': '0.3187', 'learning_rate': '0.0001966', 'epoch': '0.0175'}
{'loss': '2.776', 'grad_norm': '0.3464', 'learning_rate': '0.0001965', 'epoch': '0.0181'}
{'loss': '2.966', 'grad_norm': '0.321', 'learning_rate': '0.0001964', 'epoch': '0.01871'}
{'loss': '2.75', 'grad_norm': '0.3055', 'learning_rate': '0.0001963', 'epoch': '0.01931'}
{'loss': '2.101', 'grad_norm': '0.5571', 'learning_rate': '0.0001961', 'epoch': '0.01991'}
{'loss': '2.704', 'grad_norm': '0.2538', 'learning_rate': '0.000196', 'epoch': '0.02052'}
{'loss': '2.419', 'grad_norm': '0.3774', 'learning_rate': '0.0001959', 'epoch': '0.02112'}
{'loss': '2.587', 'grad_norm': '0.2646', 'learning_rate': '0.0001958', 'epoch': '0.02172'}
{'loss': '2.492', 'grad_norm': '0.2825', 'learning_rate': '0.0001957', 'epoch': '0.02233'}
{'loss': '2.155', 'grad_norm': '0.2774', 'learning_rate': '0.0001955', 'epoch': '0.02293'}
{'loss': '2.649', 'grad_norm': '0.3416', 'learning_rate': '0.0001954', 'epoch': '0.02353'}
{'loss': '2.368', 'grad_norm': '0.3404', 'learning_rate': '0.0001953', 'epoch': '0.02414'}
{'loss': '2.231', 'grad_norm': '0.3664', 'learning_rate': '0.0001952', 'epoch': '0.02474'}
{'loss': '1.887', 'grad_norm': '0.2484', 'learning_rate': '0.0001951', 'epoch': '0.02534'}
{'loss': '2.45', 'grad_norm': '0.2429', 'learning_rate': '0.0001949', 'epoch': '0.02595'}
{'loss': '2.523', 'grad_norm': '0.2811', 'learning_rate': '0.0001948', 'epoch': '0.02655'}
{'loss': '1.99', 'grad_norm': '0.3026', 'learning_rate': '0.0001947', 'epoch': '0.02715'}
{'loss': '2.477', 'grad_norm': '0.5604', 'learning_rate': '0.0001946', 'epoch': '0.02776'}
{'loss': '2.513', 'grad_norm': '0.2755', 'learning_rate': '0.0001945', 'epoch': '0.02836'}
{'loss': '2.378', 'grad_norm': '0.316', 'learning_rate': '0.0001943', 'epoch': '0.02896'}
{'loss': '2.134', 'grad_norm': '0.3036', 'learning_rate': '0.0001942', 'epoch': '0.02957'}
{'loss': '2.311', 'grad_norm': '0.3022', 'learning_rate': '0.0001941', 'epoch': '0.03017'}
{'loss': '2.549', 'grad_norm': '0.3566', 'learning_rate': '0.000194', 'epoch': '0.03077'}
{'loss': '2.163', 'grad_norm': '0.3858', 'learning_rate': '0.0001938', 'epoch': '0.03138'}
{'loss': '2.522', 'grad_norm': '0.3012', 'learning_rate': '0.0001937', 'epoch': '0.03198'}
{'loss': '2.244', 'grad_norm': '0.2914', 'learning_rate': '0.0001936', 'epoch': '0.03258'}
{'loss': '2.328', 'grad_norm': '0.3587', 'learning_rate': '0.0001935', 'epoch': '0.03319'}
{'loss': '2.619', 'grad_norm': '0.4295', 'learning_rate': '0.0001934', 'epoch': '0.03379'}
{'loss': '2.41', 'grad_norm': '0.3517', 'learning_rate': '0.0001932', 'epoch': '0.03439'}
{'loss': '2.217', 'grad_norm': '0.3533', 'learning_rate': '0.0001931', 'epoch': '0.035'}
{'loss': '2.427', 'grad_norm': '0.3638', 'learning_rate': '0.000193', 'epoch': '0.0356'}
{'loss': '2.602', 'grad_norm': '0.4385', 'learning_rate': '0.0001929', 'epoch': '0.0362'}
{'loss': '2.314', 'grad_norm': '0.3094', 'learning_rate': '0.0001928', 'epoch': '0.03681'}
{'loss': '2.665', 'grad_norm': '0.3252', 'learning_rate': '0.0001926', 'epoch': '0.03741'}
{'loss': '2.765', 'grad_norm': '0.4834', 'learning_rate': '0.0001925', 'epoch': '0.03801'}
{'loss': '2.435', 'grad_norm': '0.3008', 'learning_rate': '0.0001924', 'epoch': '0.03862'}
{'loss': '2.373', 'grad_norm': '0.2505', 'learning_rate': '0.0001923', 'epoch': '0.03922'}
{'loss': '2.392', 'grad_norm': '0.3295', 'learning_rate': '0.0001922', 'epoch': '0.03983'}
{'loss': '2.19', 'grad_norm': '0.3903', 'learning_rate': '0.000192', 'epoch': '0.04043'}
{'loss': '2.389', 'grad_norm': '0.5186', 'learning_rate': '0.0001919', 'epoch': '0.04103'}
{'loss': '2.675', 'grad_norm': '0.29', 'learning_rate': '0.0001918', 'epoch': '0.04164'}
{'loss': '2.747', 'grad_norm': '0.6039', 'learning_rate': '0.0001917', 'epoch': '0.04224'}
{'loss': '1.567', 'grad_norm': '0.4599', 'learning_rate': '0.0001916', 'epoch': '0.04284'}
{'loss': '1.899', 'grad_norm': '0.3235', 'learning_rate': '0.0001914', 'epoch': '0.04345'}
{'loss': '2.157', 'grad_norm': '0.2996', 'learning_rate': '0.0001913', 'epoch': '0.04405'}
{'loss': '2.51', 'grad_norm': '0.3624', 'learning_rate': '0.0001912', 'epoch': '0.04465'}
{'loss': '2.385', 'grad_norm': '0.3114', 'learning_rate': '0.0001911', 'epoch': '0.04526'}
{'loss': '2.856', 'grad_norm': '0.3954', 'learning_rate': '0.000191', 'epoch': '0.04586'}
{'loss': '2.179', 'grad_norm': '0.3706', 'learning_rate': '0.0001908', 'epoch': '0.04646'}
{'loss': '2.799', 'grad_norm': '0.5457', 'learning_rate': '0.0001907', 'epoch': '0.04707'}
{'loss': '2.038', 'grad_norm': '0.2553', 'learning_rate': '0.0001906', 'epoch': '0.04767'}
{'loss': '2.49', 'grad_norm': '0.3679', 'learning_rate': '0.0001905', 'epoch': '0.04827'}
{'loss': '2.21', 'grad_norm': '0.2472', 'learning_rate': '0.0001903', 'epoch': '0.04888'}
{'loss': '2.508', 'grad_norm': '0.3428', 'learning_rate': '0.0001902', 'epoch': '0.04948'}
{'loss': '2.202', 'grad_norm': '0.3954', 'learning_rate': '0.0001901', 'epoch': '0.05008'}
{'loss': '2.42', 'grad_norm': '0.2814', 'learning_rate': '0.00019', 'epoch': '0.05069'}
{'loss': '2.425', 'grad_norm': '0.3142', 'learning_rate': '0.0001899', 'epoch': '0.05129'}
{'loss': '2.808', 'grad_norm': '0.4986', 'learning_rate': '0.0001897', 'epoch': '0.05189'}
{'loss': '2.093', 'grad_norm': '0.4224', 'learning_rate': '0.0001896', 'epoch': '0.0525'}
{'loss': '1.88', 'grad_norm': '0.3782', 'learning_rate': '0.0001895', 'epoch': '0.0531'}
{'loss': '2.493', 'grad_norm': '0.3105', 'learning_rate': '0.0001894', 'epoch': '0.0537'}
{'loss': '2.566', 'grad_norm': '0.3545', 'learning_rate': '0.0001893', 'epoch': '0.05431'}
{'loss': '1.989', 'grad_norm': '0.3641', 'learning_rate': '0.0001891', 'epoch': '0.05491'}
{'loss': '2.364', 'grad_norm': '0.3218', 'learning_rate': '0.000189', 'epoch': '0.05551'}
{'loss': '2.339', 'grad_norm': '0.4144', 'learning_rate': '0.0001889', 'epoch': '0.05612'}
{'loss': '2.365', 'grad_norm': '0.3386', 'learning_rate': '0.0001888', 'epoch': '0.05672'}
{'loss': '2.002', 'grad_norm': '0.2834', 'learning_rate': '0.0001887', 'epoch': '0.05732'}
{'loss': '2.038', 'grad_norm': '0.3239', 'learning_rate': '0.0001885', 'epoch': '0.05793'}
{'loss': '2.446', 'grad_norm': '0.3649', 'learning_rate': '0.0001884', 'epoch': '0.05853'}
{'loss': '2.042', 'grad_norm': '0.3402', 'learning_rate': '0.0001883', 'epoch': '0.05913'}
{'loss': '2.25', 'grad_norm': '0.3481', 'learning_rate': '0.0001882', 'epoch': '0.05974'}
{'loss': '1.917', 'grad_norm': '0.3267', 'learning_rate': '0.0001881', 'epoch': '0.06034'}
{'loss': '2.013', 'grad_norm': '0.3673', 'learning_rate': '0.0001879', 'epoch': '0.06094'}
{'loss': '2.013', 'grad_norm': '0.3109', 'learning_rate': '0.0001878', 'epoch': '0.06155'}
{'loss': '2.392', 'grad_norm': '0.3546', 'learning_rate': '0.0001877', 'epoch': '0.06215'}
{'loss': '2.347', 'grad_norm': '0.2876', 'learning_rate': '0.0001876', 'epoch': '0.06275'}
{'loss': '1.844', 'grad_norm': '0.2756', 'learning_rate': '0.0001875', 'epoch': '0.06336'}
{'loss': '2.32', 'grad_norm': '0.4054', 'learning_rate': '0.0001873', 'epoch': '0.06396'}
{'loss': '1.829', 'grad_norm': '0.3696', 'learning_rate': '0.0001872', 'epoch': '0.06456'}
{'loss': '2.316', 'grad_norm': '0.2837', 'learning_rate': '0.0001871', 'epoch': '0.06517'}
{'loss': '2.046', 'grad_norm': '0.3611', 'learning_rate': '0.000187', 'epoch': '0.06577'}
{'loss': '1.863', 'grad_norm': '0.2719', 'learning_rate': '0.0001869', 'epoch': '0.06638'}
{'loss': '2.286', 'grad_norm': '0.3842', 'learning_rate': '0.0001867', 'epoch': '0.06698'}
{'loss': '2.037', 'grad_norm': '0.3569', 'learning_rate': '0.0001866', 'epoch': '0.06758'}
{'loss': '2.293', 'grad_norm': '0.3558', 'learning_rate': '0.0001865', 'epoch': '0.06819'}
{'loss': '2.952', 'grad_norm': '0.3898', 'learning_rate': '0.0001864', 'epoch': '0.06879'}
{'loss': '2.312', 'grad_norm': '0.3468', 'learning_rate': '0.0001862', 'epoch': '0.06939'}
{'loss': '1.941', 'grad_norm': '0.2966', 'learning_rate': '0.0001861', 'epoch': '0.07'}
{'loss': '1.981', 'grad_norm': '0.3611', 'learning_rate': '0.000186', 'epoch': '0.0706'}
{'loss': '2.232', 'grad_norm': '0.4498', 'learning_rate': '0.0001859', 'epoch': '0.0712'}
{'loss': '1.966', 'grad_norm': '0.2367', 'learning_rate': '0.0001858', 'epoch': '0.07181'}
{'loss': '2.122', 'grad_norm': '0.4492', 'learning_rate': '0.0001856', 'epoch': '0.07241'}
{'loss': '2.408', 'grad_norm': '0.3464', 'learning_rate': '0.0001855', 'epoch': '0.07301'}
{'loss': '2.499', 'grad_norm': '0.4384', 'learning_rate': '0.0001854', 'epoch': '0.07362'}
{'loss': '2.276', 'grad_norm': '0.3146', 'learning_rate': '0.0001853', 'epoch': '0.07422'}
{'loss': '2.004', 'grad_norm': '0.3361', 'learning_rate': '0.0001852', 'epoch': '0.07482'}
{'loss': '2.397', 'grad_norm': '0.2674', 'learning_rate': '0.000185', 'epoch': '0.07543'}
{'loss': '2.121', 'grad_norm': '0.3475', 'learning_rate': '0.0001849', 'epoch': '0.07603'}
{'loss': '2.168', 'grad_norm': '0.3222', 'learning_rate': '0.0001848', 'epoch': '0.07663'}
{'loss': '2.133', 'grad_norm': '0.3377', 'learning_rate': '0.0001847', 'epoch': '0.07724'}
{'loss': '2.142', 'grad_norm': '0.3432', 'learning_rate': '0.0001846', 'epoch': '0.07784'}
{'loss': '2.252', 'grad_norm': '0.3383', 'learning_rate': '0.0001844', 'epoch': '0.07844'}
{'loss': '2.088', 'grad_norm': '0.3733', 'learning_rate': '0.0001843', 'epoch': '0.07905'}
{'loss': '2.792', 'grad_norm': '0.3951', 'learning_rate': '0.0001842', 'epoch': '0.07965'}
{'loss': '1.884', 'grad_norm': '0.2863', 'learning_rate': '0.0001841', 'epoch': '0.08025'}
{'loss': '2.222', 'grad_norm': '0.4048', 'learning_rate': '0.000184', 'epoch': '0.08086'}
{'loss': '2.077', 'grad_norm': '0.4159', 'learning_rate': '0.0001838', 'epoch': '0.08146'}
{'loss': '2.221', 'grad_norm': '0.3715', 'learning_rate': '0.0001837', 'epoch': '0.08206'}
{'loss': '2.133', 'grad_norm': '0.3266', 'learning_rate': '0.0001836', 'epoch': '0.08267'}
{'loss': '2.154', 'grad_norm': '0.2869', 'learning_rate': '0.0001835', 'epoch': '0.08327'}
{'loss': '2.477', 'grad_norm': '0.5034', 'learning_rate': '0.0001834', 'epoch': '0.08387'}
{'loss': '2.19', 'grad_norm': '0.2976', 'learning_rate': '0.0001832', 'epoch': '0.08448'}
{'loss': '2.536', 'grad_norm': '0.342', 'learning_rate': '0.0001831', 'epoch': '0.08508'}
{'loss': '2.073', 'grad_norm': '0.3711', 'learning_rate': '0.000183', 'epoch': '0.08568'}
{'loss': '2.116', 'grad_norm': '0.3656', 'learning_rate': '0.0001829', 'epoch': '0.08629'}
{'loss': '2.462', 'grad_norm': '0.3702', 'learning_rate': '0.0001828', 'epoch': '0.08689'}
{'loss': '1.683', 'grad_norm': '0.4059', 'learning_rate': '0.0001826', 'epoch': '0.08749'}
{'loss': '2.574', 'grad_norm': '0.4458', 'learning_rate': '0.0001825', 'epoch': '0.0881'}
{'loss': '2.555', 'grad_norm': '0.3585', 'learning_rate': '0.0001824', 'epoch': '0.0887'}
{'loss': '2.803', 'grad_norm': '0.2998', 'learning_rate': '0.0001823', 'epoch': '0.0893'}
{'loss': '2.038', 'grad_norm': '0.3288', 'learning_rate': '0.0001821', 'epoch': '0.08991'}
{'loss': '2.047', 'grad_norm': '0.2888', 'learning_rate': '0.000182', 'epoch': '0.09051'}
{'loss': '1.907', 'grad_norm': '0.3693', 'learning_rate': '0.0001819', 'epoch': '0.09111'}
{'loss': '2.309', 'grad_norm': '0.3594', 'learning_rate': '0.0001818', 'epoch': '0.09172'}
{'loss': '2.132', 'grad_norm': '0.4434', 'learning_rate': '0.0001817', 'epoch': '0.09232'}
{'loss': '2.033', 'grad_norm': '0.4354', 'learning_rate': '0.0001815', 'epoch': '0.09293'}
{'loss': '2.404', 'grad_norm': '0.4018', 'learning_rate': '0.0001814', 'epoch': '0.09353'}
{'loss': '2.303', 'grad_norm': '0.5054', 'learning_rate': '0.0001813', 'epoch': '0.09413'}
{'loss': '2.188', 'grad_norm': '0.3077', 'learning_rate': '0.0001812', 'epoch': '0.09474'}
{'loss': '2.315', 'grad_norm': '0.3396', 'learning_rate': '0.0001811', 'epoch': '0.09534'}
{'loss': '2.185', 'grad_norm': '0.3386', 'learning_rate': '0.0001809', 'epoch': '0.09594'}
{'loss': '2.684', 'grad_norm': '0.4406', 'learning_rate': '0.0001808', 'epoch': '0.09655'}
{'loss': '2.155', 'grad_norm': '0.4187', 'learning_rate': '0.0001807', 'epoch': '0.09715'}
