--- Starting fine-tuning for model_type: t5 ---
Model configured with LoRA:
trainable params: 294912 || all params: 60801536 || trainable%: 0.49
Starting training...
{'loss': '12.29', 'grad_norm': '0.4352', 'learning_rate': '0.0002', 'epoch': '0.0006034'}
{'loss': '12.36', 'grad_norm': '0.3756', 'learning_rate': '0.0001999', 'epoch': '0.001207'}
{'loss': '11.07', 'grad_norm': '0.4338', 'learning_rate': '0.0001998', 'epoch': '0.00181'}
{'loss': '13.51', 'grad_norm': '0.6015', 'learning_rate': '0.0001996', 'epoch': '0.002414'}
{'loss': '11.38', 'grad_norm': '0.4692', 'learning_rate': '0.0001995', 'epoch': '0.003017'}
{'loss': '12.85', 'grad_norm': '0.5199', 'learning_rate': '0.0001994', 'epoch': '0.00362'}
{'loss': '11.21', 'grad_norm': '0.3996', 'learning_rate': '0.0001993', 'epoch': '0.004224'}
{'loss': '10.95', 'grad_norm': '0.4008', 'learning_rate': '0.0001992', 'epoch': '0.004827'}
{'loss': '12.06', 'grad_norm': '0.5021', 'learning_rate': '0.000199', 'epoch': '0.005431'}
{'loss': '12.01', 'grad_norm': '0.5236', 'learning_rate': '0.0001989', 'epoch': '0.006034'}
{'loss': '11.06', 'grad_norm': '1.699', 'learning_rate': '0.0001988', 'epoch': '0.006638'}
{'loss': '12.81', 'grad_norm': '0.6175', 'learning_rate': '0.0001987', 'epoch': '0.007241'}
{'loss': '12.54', 'grad_norm': '0.663', 'learning_rate': '0.0001986', 'epoch': '0.007844'}
{'loss': '12.09', 'grad_norm': '0.4698', 'learning_rate': '0.0001984', 'epoch': '0.008448'}
{'loss': '12.07', 'grad_norm': '0.426', 'learning_rate': '0.0001983', 'epoch': '0.009051'}
{'loss': '10.95', 'grad_norm': '0.5366', 'learning_rate': '0.0001982', 'epoch': '0.009655'}
{'loss': '13', 'grad_norm': '0.5921', 'learning_rate': '0.0001981', 'epoch': '0.01026'}
{'loss': '11.85', 'grad_norm': '0.7685', 'learning_rate': '0.0001979', 'epoch': '0.01086'}
{'loss': '11.94', 'grad_norm': '0.7168', 'learning_rate': '0.0001978', 'epoch': '0.01146'}
{'loss': '11.81', 'grad_norm': '0.6109', 'learning_rate': '0.0001977', 'epoch': '0.01207'}
{'loss': '11.68', 'grad_norm': '0.6951', 'learning_rate': '0.0001976', 'epoch': '0.01267'}
{'loss': '13.1', 'grad_norm': '0.7994', 'learning_rate': '0.0001975', 'epoch': '0.01328'}
{'loss': '13.53', 'grad_norm': '0.6078', 'learning_rate': '0.0001973', 'epoch': '0.01388'}
{'loss': '10', 'grad_norm': '0.6724', 'learning_rate': '0.0001972', 'epoch': '0.01448'}
{'loss': '10.67', 'grad_norm': '0.7384', 'learning_rate': '0.0001971', 'epoch': '0.01509'}
{'loss': '11.81', 'grad_norm': '0.6787', 'learning_rate': '0.000197', 'epoch': '0.01569'}
{'loss': '11.3', 'grad_norm': '1.038', 'learning_rate': '0.0001969', 'epoch': '0.01629'}
{'loss': '10.08', 'grad_norm': '0.8592', 'learning_rate': '0.0001967', 'epoch': '0.0169'}
{'loss': '11.24', 'grad_norm': '0.797', 'learning_rate': '0.0001966', 'epoch': '0.0175'}
{'loss': '11.04', 'grad_norm': '0.8855', 'learning_rate': '0.0001965', 'epoch': '0.0181'}
{'loss': '10.34', 'grad_norm': '0.6437', 'learning_rate': '0.0001964', 'epoch': '0.01871'}
{'loss': '11.59', 'grad_norm': '0.6586', 'learning_rate': '0.0001963', 'epoch': '0.01931'}
{'loss': '11.88', 'grad_norm': '1.028', 'learning_rate': '0.0001961', 'epoch': '0.01991'}
{'loss': '10.41', 'grad_norm': '0.892', 'learning_rate': '0.000196', 'epoch': '0.02052'}
{'loss': '10.99', 'grad_norm': '0.7778', 'learning_rate': '0.0001959', 'epoch': '0.02112'}
{'loss': '10.87', 'grad_norm': '0.7867', 'learning_rate': '0.0001958', 'epoch': '0.02172'}
{'loss': '11.39', 'grad_norm': '0.8166', 'learning_rate': '0.0001957', 'epoch': '0.02233'}
{'loss': '10.27', 'grad_norm': '0.8151', 'learning_rate': '0.0001955', 'epoch': '0.02293'}
{'loss': '9.409', 'grad_norm': '1.004', 'learning_rate': '0.0001954', 'epoch': '0.02353'}
{'loss': '10.02', 'grad_norm': '0.8319', 'learning_rate': '0.0001953', 'epoch': '0.02414'}
{'loss': '10.94', 'grad_norm': '0.9474', 'learning_rate': '0.0001952', 'epoch': '0.02474'}
{'loss': '13.23', 'grad_norm': '0.7623', 'learning_rate': '0.0001951', 'epoch': '0.02534'}
{'loss': '11.64', 'grad_norm': '0.8743', 'learning_rate': '0.0001949', 'epoch': '0.02595'}
{'loss': '10.03', 'grad_norm': '1.078', 'learning_rate': '0.0001948', 'epoch': '0.02655'}
{'loss': '10.71', 'grad_norm': '0.8586', 'learning_rate': '0.0001947', 'epoch': '0.02715'}
{'loss': '10.96', 'grad_norm': '0.9147', 'learning_rate': '0.0001946', 'epoch': '0.02776'}
{'loss': '10.09', 'grad_norm': '1.208', 'learning_rate': '0.0001945', 'epoch': '0.02836'}
{'loss': '9.541', 'grad_norm': '0.7526', 'learning_rate': '0.0001943', 'epoch': '0.02896'}
{'loss': '12.5', 'grad_norm': '0.9173', 'learning_rate': '0.0001942', 'epoch': '0.02957'}
{'loss': '9.957', 'grad_norm': '0.8452', 'learning_rate': '0.0001941', 'epoch': '0.03017'}
{'loss': '9.232', 'grad_norm': '0.7382', 'learning_rate': '0.000194', 'epoch': '0.03077'}
{'loss': '10.09', 'grad_norm': '0.7322', 'learning_rate': '0.0001938', 'epoch': '0.03138'}
{'loss': '10.47', 'grad_norm': '1.104', 'learning_rate': '0.0001937', 'epoch': '0.03198'}
{'loss': '9.497', 'grad_norm': '0.6492', 'learning_rate': '0.0001936', 'epoch': '0.03258'}
{'loss': '10.58', 'grad_norm': '0.976', 'learning_rate': '0.0001935', 'epoch': '0.03319'}
{'loss': '11.23', 'grad_norm': '1.037', 'learning_rate': '0.0001934', 'epoch': '0.03379'}
{'loss': '8.659', 'grad_norm': '0.82', 'learning_rate': '0.0001932', 'epoch': '0.03439'}
{'loss': '8.553', 'grad_norm': '1.202', 'learning_rate': '0.0001931', 'epoch': '0.035'}
{'loss': '10.62', 'grad_norm': '1.441', 'learning_rate': '0.000193', 'epoch': '0.0356'}
{'loss': '10.14', 'grad_norm': '1.143', 'learning_rate': '0.0001929', 'epoch': '0.0362'}
{'loss': '8.317', 'grad_norm': '0.8462', 'learning_rate': '0.0001928', 'epoch': '0.03681'}
{'loss': '10.57', 'grad_norm': '1.085', 'learning_rate': '0.0001926', 'epoch': '0.03741'}
{'loss': '10.37', 'grad_norm': '1.315', 'learning_rate': '0.0001925', 'epoch': '0.03801'}
{'loss': '9.963', 'grad_norm': '0.7281', 'learning_rate': '0.0001924', 'epoch': '0.03862'}
{'loss': '10.09', 'grad_norm': '0.7369', 'learning_rate': '0.0001923', 'epoch': '0.03922'}
{'loss': '8.532', 'grad_norm': '1.003', 'learning_rate': '0.0001922', 'epoch': '0.03983'}
{'loss': '9.525', 'grad_norm': '1.041', 'learning_rate': '0.000192', 'epoch': '0.04043'}
{'loss': '8.992', 'grad_norm': '1.009', 'learning_rate': '0.0001919', 'epoch': '0.04103'}
{'loss': '9.189', 'grad_norm': '0.9839', 'learning_rate': '0.0001918', 'epoch': '0.04164'}
{'loss': '8.619', 'grad_norm': '0.908', 'learning_rate': '0.0001917', 'epoch': '0.04224'}
{'loss': '9.56', 'grad_norm': '0.866', 'learning_rate': '0.0001916', 'epoch': '0.04284'}
{'loss': '9.711', 'grad_norm': '1.047', 'learning_rate': '0.0001914', 'epoch': '0.04345'}
{'loss': '8.553', 'grad_norm': '0.9842', 'learning_rate': '0.0001913', 'epoch': '0.04405'}
{'loss': '9.469', 'grad_norm': '1.023', 'learning_rate': '0.0001912', 'epoch': '0.04465'}
{'loss': '9.43', 'grad_norm': '0.997', 'learning_rate': '0.0001911', 'epoch': '0.04526'}
{'loss': '8.087', 'grad_norm': '0.7918', 'learning_rate': '0.000191', 'epoch': '0.04586'}
{'loss': '10.29', 'grad_norm': '1.08', 'learning_rate': '0.0001908', 'epoch': '0.04646'}
{'loss': '11.02', 'grad_norm': '0.8756', 'learning_rate': '0.0001907', 'epoch': '0.04707'}
{'loss': '9.81', 'grad_norm': '0.8742', 'learning_rate': '0.0001906', 'epoch': '0.04767'}
