ID,from,to,sig
0,climate,climate,75513.81991663575
1,climate,change,10482.736546725966
2,climate,policy,2485.8720055976883
3,climate,agreement,2186.76854320243
4,climate,energy,1157.5430486379191
5,climate,paris,890.4738151393831
6,climate,adaptation,824.3253340059891
7,climate,action,784.8776288218796
8,climate,crisis,689.3572318013757
9,climate,plan,667.1880504339933
10,climate,strategy,662.2984194299206
11,climate,objective,630.4907615110278
12,climate,emission,600.4175630826503
13,climate,summit,591.7387121263891
14,climate,government,571.1543046450242
