ID,from,to,sig
0,climate,climate,381616.0321270004
1,climate,change,52597.69019236043
2,climate,policy,12579.569539304823
3,climate,agreement,6043.741548251361
4,climate,crisis,5019.485252588987
5,climate,action,4818.49545154348
6,climate,emergency,3621.098737575114
7,climate,target,3482.2416252829134
8,climate,paris,3267.080175809562
9,climate,energy,3045.4930647797883
10,climate,adaptation,3035.928367011249
11,climate,global,2860.43317540735
12,climate,government,2797.3244003988802
13,climate,fight,2506.528839159757
14,climate,challenge,2298.7670508548617
