"ID","MeasurementTime","Measurement","Value"
"WBC-1","2019-11-09 22:56:09","radius",17.6
"WBC-1","2019-06-15 23:05:45","radius",18.5
"WBC-1","2019-11-23 20:10:14","radius",16.1
"WBC-1","2019-05-05 20:12:52","radius",18.5
"WBC-1","2019-05-05 20:12:52","texture",10.1
"WBC-1","2019-11-09 22:56:09","texture",11.2
"WBC-1","2019-06-15 23:05:45","texture",11.1
"WBC-1","2019-11-23 20:10:14","texture",11.1
"WBC-1","2019-11-23 20:10:14","perimeter",122.7
"WBC-1","2019-05-05 20:12:52","perimeter",129.4
"WBC-1","2019-11-09 22:56:09","perimeter",112.9
"WBC-1","2019-06-15 23:05:45","perimeter",101.9
"WBC-1","2019-06-15 23:05:45","area",817.6
"WBC-1","2019-11-23 20:10:14","area",1215
"WBC-1","2019-05-05 20:12:52","area",842.6
"WBC-1","2019-11-09 22:56:09","area",1138.9
"WBC-2","2019-11-09 22:56:09","radius",19.8
"WBC-2","2019-06-15 23:05:45","radius",20.6
"WBC-2","2019-11-23 20:10:14","radius",20.7
"WBC-2","2019-05-05 20:12:52","radius",20.7
"WBC-2","2019-05-05 20:12:52","texture",16.4
"WBC-2","2019-11-09 22:56:09","texture",18.6
"WBC-2","2019-06-15 23:05:45","texture",17
"WBC-2","2019-11-23 20:10:14","texture",17.3
"WBC-2","2019-11-23 20:10:14","perimeter",128
"WBC-2","2019-05-05 20:12:52","perimeter",128.1
"WBC-2","2019-11-09 22:56:09","perimeter",125.8
"WBC-2","2019-06-15 23:05:45","perimeter",129
"WBC-2","2019-06-15 23:05:45","area",1367
"WBC-2","2019-11-23 20:10:14","area",1258.1
"WBC-2","2019-05-05 20:12:52","area",1295.7
"WBC-2","2019-11-09 22:56:09","area",1367.3
"WBC-3","2019-11-09 22:56:09","radius",19.1
"WBC-3","2019-06-15 23:05:45","radius",19.9
"WBC-3","2019-11-23 20:10:14","radius",20.9
"WBC-3","2019-05-05 20:12:52","radius",19.6
"WBC-3","2019-05-05 20:12:52","texture",21.5
"WBC-3","2019-11-09 22:56:09","texture",20.3
"WBC-3","2019-06-15 23:05:45","texture",19.7
"WBC-3","2019-11-23 20:10:14","texture",21.7
"WBC-3","2019-11-23 20:10:14","perimeter",134.2
